sector,amount_2015,amount_2016,amount_2017,amount_2018,amount_2019,amount_2020,amount_2021,proportion_2015,proportion_2016,proportion_2017,proportion_2018,proportion_2019,proportion_2020,proportion_2021
Agriculture,74729404,119521839.25,142540275.75,42167313.25,22445216.75,50867460.5,17238631,0.00492073245858037,0.00680070330441765,0.00735865742443069,0.00231444404102526,0.00128107838484771,0.00295988539609031,0.00236542973719474
COVID-19,334788,385208,0,3400000,0,950354502.444444,0,2.20448991984896e-05,2.19180472366109e-05,0,0.000186616341734457,0,0.0552994072289884,0
Camp Coordination / Management,30378636,69477760,51110925,83909067.3333333,123959266.2,74572597.1666667,7214749,0.00200035236749109,0.00395323260569333,0.00263860712869969,0.00460553034826379,0.00707507253323374,0.00433924436432485,0.000989984751747165
Coordination and support services,456972796,509782786.333333,638417321.65,1048677383.33333,1007063008.46667,366281267.611111,228494996.333333,0.0300904429796527,0.0290062594527246,0.0329583644982175,0.0575589226286263,0.057478912620719,0.0213132435589855,0.0313533516163243
Early Recovery,399581054,304812067.25,153970140.416667,450327219.791667,157284869,108608484.440476,45999666.5,0.0263113494422029,0.0173435787633552,0.00794872544588675,0.024717181864991,0.00897715750236642,0.00631973099948378,0.00631192691810275
Education,238712767,291381187,357341342.65,502125195,575622704.733333,474229048.768254,153476474.683333,0.0157186006843362,0.0165793717174248,0.0184477861454358,0.027560225583412,0.0328541182326273,0.0275945294310683,0.0210595503306366
Emergency Shelter and NFI,692451223,335444551.666667,508402697.9,447965552.291667,392643069.416667,401929772.968254,111957252.75,0.0455960709789654,0.0190865442272584,0.0262463452369351,0.0245875566446254,0.0224104117501984,0.0233875655196632,0.0153624156668518
Emergency Telecommunications,32722015,1198760,44022200,6479113,8136667.5,8418939,3294249.5,0.00215465764079497,6.82085478633873e-05,0.00227265092034714,0.000355620107571813,0.000464406691859762,0.00048988281215012,0.000452026366191079
Food Security,2743828865.33333,3744085106,4041005291.56667,4170497066.29167,4819233207.35,4186388115.84048,2326520327.51667,0.180673831661169,0.213035643629414,0.208617342954388,0.228906736978128,0.275061522561432,0.243598342135484,0.319237668402784
Health,918509179,830681176.666667,856691588.666667,1128919611.79167,960710680.933333,1178823135.60159,377380259.266667,0.060481386023222,0.0472651379741426,0.0442267975575267,0.0619631906073071,0.0548333171002242,0.0685935831933367,0.0517829105744901
Logistics,193115919,155976688,241799491,420600219.5,240061040.166667,202157078.944444,518479585.5,0.0127161695400632,0.00887495694636176,0.012482925336776,0.0230855512634705,0.0137016725223459,0.0117631542798158,0.0711441082340066
Multi-sector,3839703332,4244344208,4122760577,2385501254,2780780719.91667,2463448958.83333,322686370.333333,0.252834250050912,0.241500012563031,0.21283796856336,0.130933387418953,0.15871524489896,0.143343633151583,0.0442779902982957
Nutrition,181646988.333333,375803364.333333,709722070.416667,896588090.375,1224409834.03333,794648783.527778,346203409.6,0.0119609709652603,0.021382930497641,0.0366394800015246,0.049211173373078,0.0698841534945333,0.0462391734571612,0.0475049231105445
Other,325244208,170888531,9902130,13265704.375,20311776,141267154,0,0.0214164658836416,0.00972342966566906,0.000511198551137767,0.000728116829703906,0.00115931057745158,0.00822007983024512,0
Protection,310582365.133333,520416657.966667,446142671.466667,586714461.508333,840202098.283333,893339508.601588,254374798.433333,0.0204510225342391,0.0296113187992788,0.0230321645196026,0.0322030901321726,0.0479551950423676,0.0519818080020002,0.0349044951775535
Unspecified,4421100636.66667,5409951858.66667,6566916873.5,5373813859.16667,3657998407.16667,4307684803.83333,2435389687,0.291117715932754,0.307822216532489,0.339017806388661,0.294953377517532,0.208783133770742,0.250656376718992,0.334176373244904
Water Sanitation Hygiene,327028184,490771592.333333,479673153.15,658246459.791667,689702151.65,582598644.351587,139027042.85,0.0215339359575167,0.0279245367259993,0.0247631793270705,0.0361292783194054,0.0393652923160909,0.033900359920627,0.0190768455703725
